,Unnamed: 0,userID,audio_exercise,easy_exercise,grammar_exercise,translate_exercise
0,0,89275,0.0,0.0,1.0000000000000002,0.0
1,1,89433,0.0,0.0,0.9000000000000002,0.0
2,2,89702,0.0,0.0,0.65,0.0
3,3,89957,0.0,0.0,1.2000000000000004,0.0
4,4,89181,0.0,0.0,0.8000000000000002,0.0
5,5,89983,0.0,0.0,0.9000000000000002,0.0
6,6,89990,0.0,0.0,0.9000000000000002,0.0
7,7,89985,0.0,0.0,0.7500000000000001,0.0
8,8,89909,0.0,0.0,1.1000000000000003,0.0
9,9,89423,0.0,0.0,1.1000000000000003,0.0
10,10,90006,0.0,0.0,0.8500000000000002,0.0
11,11,89410,0.0,0.0,1.0000000000000002,0.0
12,12,90015,0.0,0.0,1.0000000000000002,0.0
13,13,89787,0.0,0.0,0.9000000000000002,0.0
14,14,88657,0.0,0.0,0.9000000000000002,0.0
15,15,89905,0.0,0.0,1.0500000000000003,0.0
16,16,88765,0.0,0.0,1.0500000000000003,0.0
17,17,90026,0.0,0.0,1.2500000000000004,0.8000000000000002
18,18,42366,0.0,0.0,1.0500000000000003,0.0
19,19,90036,0.0,0.0,0.8500000000000002,0.0
20,20,90031,0.0,0.0,0.35,0.0
21,21,77548,0.0,0.0,0.7500000000000001,0.0
22,22,90047,0.0,0.0,1.1000000000000003,0.0
23,23,90043,0.0,0.0,1.3000000000000005,0.0
24,24,90048,0.0,0.0,1.1000000000000003,0.0
25,25,90056,0.0,0.0,0.44999999999999996,0.0
26,26,90057,0.0,0.0,0.6,0.0
27,27,90052,0.0,0.0,1.2500000000000004,0.0
28,28,90055,0.0,0.0,1.0000000000000002,0.0
29,29,90064,0.0,0.0,1.0000000000000002,0.0
30,30,90067,0.0,0.0,0.6,0.0
31,31,90042,0.0,0.0,0.8500000000000002,0.0
32,32,90074,0.0,0.0,0.3,0.0
33,33,90077,0.0,0.0,0.8000000000000002,0.0
34,34,90082,0.0,0.0,0.65,0.0
35,35,90086,1.3000000000000005,0.0,1.1000000000000003,1.0500000000000003
36,36,89810,0.0,0.0,0.9000000000000002,0.65
37,37,88971,0.0,0.0,0.49999999999999994,0.0
38,38,90078,0.0,0.0,0.8500000000000002,0.0
39,39,90090,0.0,0.0,1.0000000000000002,0.0
40,40,89602,0.0,0.0,1.0000000000000002,0.0
